$English - Magyar
#Az utcán

avenue	sugárút
bus shelter	autóbuszváróhely
bus stop	buszmegálló
high street	főutca
lamppost	lámpaoszlop
parking meter	parkoló óra
pavement, sidewalk	járda
pedestrian crossing	gyalogosátkelő
pedestrian subway	aluljáró
side street	mellékutca
signpost	jelzőtábla
square	tér
street	utca
taxi rank	taxiállomás
telephone box vagy telephone booth	telefonfülke

#Család

father (családon belül úgy mondják, hogy dad)	apa
mother (családon belül úgy mondják, hogy mum)	anya
son	fiú
daughter	lány
parent	szülő
child (többesszáma: children)	gyermek
husband	férj
wife	feleség
brother	fiútestvér
sister	lánytestvér
uncle	nagybácsi
aunt	nagynéni
nephew	unokaöcs
niece	unokahúg
cousin	unokatestvér
grandmother, granny, grandma	nagymama, nagyi, nagymami
grandfather, granddad, grandpa	nagypapa,nagypapi
grandparents	nagyszülők
grandson	fiú unoka
granddaughter	lány unoka
grandchild, grandchildren	unoka
boyfriend	barát
girlfriend	barátnő
partner	partner
fiancé	vőlegény
fiancée	menyasszony
godfather	keresztapa
godmother	keresztanya
godson	keresztfiú
goddaughter	keresztlány
stepfather	mostoha apa
stepmother	mostoha anya
stepson	mostoha fiú
stepdaughter	mostoha lány
stepbrother	mostoha fiútestvér
stepsister	mostoha lánytestvér
half-sister	lány féltestvér
half-brother	fiú féltestvér
mother-in-law	anyós
father-in-law	após
son-in-law	vő
daughter-in-law	meny
sister-in-law	sógornő
brother-in-law	sógor
relation vagy relative	rokon
twin	iker
to be born	megszületni
to die	meghalni
to get married	megházasodni
to get divorced	elválni
to adopt	örökbefogadni
adoption	örökbefogadás
adopted	örökbefogadott
only child	egyetlen gyermek
single parent	egyedülálló apuka
single mother	egyedülálló anyuka
infant	gyermek, csecsemő
baby	csecsemő
toddler	totyogó
single	egyedülálló
engaged	jegyes (el van jegyezve)
married	házas
separated	külön él
divorced	elvált
widow	özvegyasszony
widower	özvegy úr

#Dátum,Idő és gyakoriság

second	másodperc
minute	perc
hour	óra
day	nap
week	hét
fortnight	két hét
month	hónap
year	év
decade	évtized
century	évszázad
weekend	hétvége
leap year	szökőév

#Építés,Szerelés

chisel	véső
hammer	kalapács
drill	fúró
file	reszelő
ladder	létra
paint brush	ecset
pliers	fogó
ruler	vonalzó
saw	fűrész
screwdriver	csavarhúzó
spanner	csavarkulcs
spirit level	vízmérték
stepladder	kétágú létra
tape measure	mérőszalag
bolt	csavar
nail	szög
nut	anya
screw	csavarok
washer	alátét
brick	tégla
cement	cement
paint	festék
plaster	gipsz
sandpaper	smirgli
string	zsinór
tape	szalag
tile	csempe
wallpaper	tapéta
white spirit	higító
wire	drót
pipe	cső
toolbox	szerszámosláda
broken	eltörött, elromlott
rusty	rozsdás
to build	építeni
to cut	vágni
to loosen	meglazítani
to measure	mérni
to paint	festeni
to repair, to mend	javítani, rendbehozni
to screw in	becsavarni
to tighten	meghúzni
to unscrew	kicsavarni
brick	tégla
cement	cement
concrete	beton
glass	üveg
gravel	sóder
marble	márvány
metal	fém
plastic	műanyag
sand	karton
slate	pala
stone	kő
wood	fa
aluminium	alumínium
brass	sárgaréz
bronze	bronz
copper	réz
gold	arany
iron	vas
lead	ólom
magnesium	magnézium
mercury	higany
nickel	nikkel
platinum	platina
silver	ezüst
steel	acél
tin	bádog
uranium	uránium
zinc	cink
alloy	ötvözet
carbon dioxide	szén-dioxid
helium	hélium
hydrogen	hidrogén
nitrogen	nitrogén
oxygen	oxigén
cloth	anyag
cotton	pamut
lace	csipke
leather	bőr
linen	lenvászon
man-made fibres	mesterséges szövet
nylon	nejlon
polyester	műszál
silk	selyem
wool	gyapjú
charcoal	faszén
coal	szén
gas	gáz
oil	olaj
paraffin	paraffin
petrol	benzin
asbestos	azbeszt
cardboard	karton
chalk	kréta
clay	agyag
dust	por
fibreglass	üvegszál
mud	sár
paper	papír
rubber	gumi
smoke	füst
soil	talaj
ice	jég
steam	gőz
water	víz

#Épületek

apartment block	bérház
art gallery	galéria
bank	bank
bar	bár
block of flats	lakástömb
building society	lakásépítő szövetkezet
café	kávézó
cathedral	katedrális
church	templom
cinema	mozi
concert hall	koncertterem
dentists	fogorvosok
doctors	orvosok
fire station	tűzoltóság
garage	autószervíz
gym	fitness terem
health centre	egészségügyi központ
hospital	kórház
hotel	szálloda
internet cafe	internetkávézó
leisure centre vagy sports centre	egészségközpont
library	könyvtár
mosque	mecset
museum	múzeum
office block	irodaépület
petrol station	benzinkút
police station	rendőrőrs
post office	posta
pub, public house	kocsma
restaurant	étterem
school	iskola
shopping centre	bevásárlóközpont
skyscraper	felhőkarcoló
swimming baths	uszoda
synagogue	zsinagóga
theatre	színház
tower block	toronyház
town hall	városháza
university	egyetem
vets	állatkórház
wine bar	borozó
bowling alley	bowlingterem
bus station	buszállomás
car park	parkoló
cemetery	temető
children's playground	gyermek játszótér
marketplace	piac
multi-storey car park	többemeletes parkolóház
park	park
skate park	gördeszkapálya
stadium	stadion
town square	főtér
train station	vasútállomás
zoo	állatkert

#Érzékelés

smell	szaglás
touch	érintés
sight	látás
hearing	hallás
taste	ízlelés
to smell	szagolni
to touch	érinteni
to see	látni
to hear	hallani
to taste	ízlelni

#Érzések, érzelem

happy	boldog
sad	szomorú
miserable	boldogtalan
worried	aggódó
depressed	depressziós
excited	izgatott
bored	unatkozó
fed up	megcsömörlött
pleased	örömteli
delighted	elragadtatott
surprised	meglepett
astonished	elámult
disappointed	csalódott
enthusiastic	lelkes
relaxed	relaxált
stressed	stresszelt
anxious	szorongó
